I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,
48,0,-48,-24,48,-24,361,1015,917,683,439,175
268,107,-161,-187,214,-26,400,1400,1342,1088,795,448
488,214,-273,-351,380,-29,439,1786,1766,1493,1151,722
717,244,-473,-480,595,-114,414,1844,1849,1620,1307,883
946,273,-673,-610,810,-200,390,1903,1932,1747,1464,1044
1102,375,-727,-739,915,-175,92,1210,1483,1581,1468,1180
1259,478,-780,-868,1019,-151,-204,517,1034,1415,1473,1317
1107,839,-268,-973,688,285,-444,-195,644,1356,1595,1561
956,1200,244,-1078,356,722,-683,-907,253,1298,1717,1805
688,1010,322,-849,183,666,-810,-1385,-214,897,1381,1576
419,819,400,-619,9,610,-936,-1864,-683,497,1044,1346
131,580,448,-356,-158,514,-858,-1834,-902,82,546,844
-156,341,497,-92,-326,419,-780,-1805,-1122,-331,48,341
-219,209,429,4,-324,319,-595,-1429,-1000,-444,-161,87
-283,78,361,102,-322,219,-409,-1054,-878,-556,-370,-165
-204,0,204,102,-204,102,-273,-761,-668,-488,-351,-180
-126,-78,48,102,-87,-14,-136,-468,-458,-419,-331,-195
-126,-78,48,102,-87,-14,-78,-336,-356,-326,-263,-175
-126,-78,48,102,-87,-14,-19,-204,-253,-234,-195,-156
-122,-82,39,102,-80,-21,-4,-175,-219,-219,-190,-151
-117,-87,29,102,-73,-29,9,-146,-185,-204,-185,-146
-112,-87,24,100,-68,-31,9,-126,-165,-185,-170,-141
-107,-87,19,97,-63,-34,9,-107,-146,-165,-156,-136
-107,-97,9,102,-58,-43,19,-87,-131,-161,-156,-136
-107,-107,0,107,-53,-53,29,-68,-117,-156,-156,-136
-107,-107,0,107,-53,-53,29,-58,-112,-151,-151,-136
-107,-107,0,107,-53,-53,29,-48,-107,-146,-146,-136
-107,-107,0,107,-53,-53,34,-43,-102,-136,-141,-126
-107,-107,0,107,-53,-53,39,-39,-97,-126,-136,-117
-107,-102,4,104,-56,-48,43,-39,-92,-126,-126,-112
-107,-97,9,102,-58,-43,48,-39,-87,-126,-117,-107
-97,-82,14,90,-56,-34,48,-29,-78,-112,-107,-102
-87,-68,19,78,-53,-24,48,-19,-68,-97,-97,-97
-87,-68,19,78,-53,-24,48,-14,-63,-97,-97,-97
-87,-68,19,78,-53,-24,48,-9,-58,-97,-97,-97
-87,-68,19,78,-53,-24,48,-4,-58,-92,-92,-92
-87,-68,19,78,-53,-24,48,0,-58,-87,-87,-87
-87,-58,29,73,-58,-14,48,0,-58,-82,-82,-82
-87,-48,39,68,-63,-4,48,0,-58,-78,-78,-78
-87,-48,39,68,-63,-4,53,0,-48,-73,-68,-68
-87,-48,39,68,-63,-4,58,0,-39,-68,-58,-58
-87,-43,43,65,-65,0,58,4,-34,-63,-53,-53
-87,-39,48,63,-68,4,58,9,-29,-58,-48,-48
-87,-39,48,63,-68,4,58,14,-29,-48,-43,-43
-87,-39,48,63,-68,4,58,19,-29,-39,-39,-39
-87,-34,53,61,-70,9,53,24,-24,-39,-34,-34
-87,-29,58,58,-73,14,48,29,-19,-39,-29,-29
-87,-19,68,53,-78,24,48,29,-14,-34,-24,-29
-87,-9,78,48,-82,34,48,29,-9,-29,-19,-29
-82,-4,78,43,-80,36,53,39,-4,-19,-9,-19
-78,0,78,39,-78,39,58,48,0,-9,0,-9
-78,9,87,34,-82,48,68,53,9,0,9,0
-78,19,97,29,-87,58,78,58,19,9,19,9
-78,24,102,26,-90,63,78,63,24,14,19,9
-78,29,107,24,-92,68,78,68,29,19,19,9
-78,39,117,19,-97,78,78,82,34,24,24,14
-78,48,126,14,-102,87,78,97,39,29,29,19
-82,48,131,17,-107,90,87,102,48,39,39,24
-87,48,136,19,-112,92,97,107,58,48,48,29
-87,53,141,17,-114,97,107,112,63,48,53,34
-87,58,146,14,-117,102,117,117,68,48,58,39
-97,68,165,14,-131,117,122,126,73,53,63,39
-107,78,185,14,-146,131,126,136,78,58,68,39
-112,92,204,9,-158,148,141,136,82,63,68,43
-117,107,224,4,-170,165,156,136,87,68,68,48
-122,112,234,4,-178,173,161,146,87,68,68,48
-126,117,244,4,-185,180,165,156,87,68,68,48
-146,117,263,14,-204,190,165,156,87,63,68,43
-165,117,283,24,-224,200,165,156,87,58,68,39
