I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,
0,-58,-58,29,29,-58,-48,-78,-78,-78,-97,-48
9,-58,-68,24,39,-63,-48,-78,-82,-78,-97,-48
19,-58,-78,19,48,-68,-48,-78,-87,-78,-97,-48
19,-63,-82,21,51,-73,-48,-73,-87,-78,-97,-53
19,-68,-87,24,53,-78,-48,-68,-87,-78,-97,-58
14,-78,-92,31,53,-85,-34,-68,-87,-82,-97,-63
9,-87,-97,39,53,-92,-19,-68,-87,-87,-97,-68
-4,-87,-82,46,39,-85,-14,-68,-87,-87,-97,-73
-19,-87,-68,53,24,-78,-9,-68,-87,-87,-97,-78
-29,-92,-63,61,17,-78,0,-68,-87,-87,-102,-82
-34,-102,-68,68,17,-85,9,-68,-87,-87,-102,-87
-43,-112,-68,78,12,-90,19,-73,-92,-92,-107,-92
-48,-122,-73,85,12,-97,24,-68,-92,-97,-117,-97
-48,-126,-78,87,14,-102,29,-63,-92,-97,-122,-97
-48,-131,-82,90,17,-107,29,-63,-97,-97,-126,-97
-48,-136,-87,92,19,-112,29,-63,-97,-102,-126,-97
-48,-136,-87,92,19,-112,29,-58,-97,-102,-126,-92
-53,-131,-78,92,12,-104,29,-58,-92,-102,-122,-92
-53,-126,-73,90,9,-100,34,-58,-92,-102,-122,-92
-48,-126,-78,87,14,-102,34,-58,-92,-102,-122,-92
-48,-131,-82,90,17,-107,34,-58,-92,-102,-122,-92
-48,-136,-87,92,19,-112,39,-58,-92,-102,-126,-92
-48,-141,-92,95,21,-117,39,-58,-92,-102,-126,-92
-53,-141,-87,97,17,-114,39,-58,-92,-102,-126,-97
-58,-141,-82,100,12,-112,39,-53,-92,-102,-131,-97
-58,-141,-82,100,12,-112,39,-53,-92,-102,-131,-102
-63,-141,-78,102,7,-109,34,-53,-92,-102,-131,-107
-63,-141,-78,102,7,-109,34,-53,-92,-107,-136,-107
-58,-141,-82,100,12,-112,34,-53,-92,-112,-136,-107
-53,-141,-87,97,17,-114,39,-53,-92,-112,-136,-107
-48,-141,-92,95,21,-117,43,-53,-92,-112,-136,-107
-48,-146,-97,97,24,-122,43,-53,-92,-112,-131,-107
-53,-146,-92,100,19,-119,48,-53,-92,-112,-131,-107
-53,-146,-92,100,19,-119,48,-53,-92,-112,-131,-107
-53,-141,-87,97,17,-114,48,-48,-87,-112,-126,-107
-58,-141,-82,100,12,-112,43,-48,-87,-112,-126,-107
-58,-141,-82,100,12,-112,43,-48,-87,-112,-126,-107
-58,-141,-82,100,12,-112,48,-48,-92,-112,-122,-107
-58,-141,-82,100,12,-112,48,-48,-92,-112,-117,-107
-58,-141,-82,100,12,-112,48,-53,-92,-112,-117,-107
-58,-141,-82,100,12,-112,48,-53,-87,-112,-117,-107
-58,-141,-82,100,12,-112,48,-48,-87,-107,-112,-107
-58,-141,-82,100,12,-112,48,-48,-87,-102,-107,-107
-58,-141,-82,100,12,-112,48,-48,-87,-102,-102,-107
-58,-141,-82,100,12,-112,48,-48,-87,-102,-102,-107
-53,-136,-82,95,14,-109,48,-48,-87,-102,-102,-107
-48,-136,-87,92,19,-112,48,-48,-82,-102,-102,-107
-48,-136,-87,92,19,-112,48,-48,-82,-102,-97,-107
-53,-136,-82,95,14,-109,48,-48,-82,-102,-97,-107
-58,-141,-82,100,12,-112,58,-53,-87,-112,-117,-122
-73,-165,-92,119,9,-129,73,-58,-87,-131,-151,-146
-92,-195,-102,143,4,-148,87,-43,-102,-161,-190,-200
-92,-214,-122,153,14,-168,92,-24,-112,-165,-195,-200
-82,-204,-122,143,19,-163,97,9,-48,-78,-92,-112
-34,-87,-53,61,9,-70,48,19,92,112,117,82
63,39,-24,-51,43,7,-19,34,165,268,302,268
175,214,39,-195,68,126,-122,-14,180,414,512,488
312,458,146,-385,82,302,-273,-68,224,614,805,785
492,722,229,-607,131,475,-512,-200,209,795,1117,1112
683,971,287,-827,197,629,-814,-463,39,858,1351,1390
780,1029,248,-905,265,639,-1000,-712,-258,673,1263,1400
736,785,48,-761,344,417,-917,-717,-605,258,854,1088
463,717,253,-590,104,485,-746,-732,-619,112,634,883
92,522,429,-307,-168,475,-522,-761,-551,-82,278,497
-97,302,400,-102,-248,351,-331,-688,-561,-322,-78,136
-87,136,224,-24,-156,180,-204,-463,-522,-380,-190,-19
-63,9,73,26,-68,41,-107,-234,-444,-341,-214,-92
-39,-73,-34,56,-2,-53,-39,-58,-322,-263,-185,-122
-29,-112,-82,70,26,-97,19,19,-214,-200,-165,-146
-29,-102,-73,65,21,-87,34,19,-141,-141,-136,-126
-34,-97,-63,65,14,-80,39,19,-102,-117,-107,-102
-34,-97,-63,65,14,-80,43,24,-68,-92,-87,-92
-39,-97,-58,68,9,-78,53,29,-34,-73,-78,-92
-43,-107,-63,75,9,-85,68,34,-34,-73,-78,-102
-48,-122,-73,85,12,-97,78,34,-39,-78,-82,-112
-48,-122,-73,85,12,-97,78,39,-39,-78,-82,-117
-48,-122,-73,85,12,-97,78,43,-24,-78,-82,-117
-48,-126,-78,87,14,-102,82,43,-19,-73,-78,-117
-48,-126,-78,87,14,-102,82,43,-19,-73,-68,-117
-48,-131,-82,90,17,-107,82,48,-19,-73,-68,-117
-48,-131,-82,90,17,-107,82,48,-19,-68,-68,-117
-48,-131,-82,90,17,-107,82,53,-14,-68,-63,-117
-48,-136,-87,92,19,-112,82,53,-9,-68,-58,-117
-48,-136,-87,92,19,-112,82,53,-9,-63,-58,-117
-48,-131,-82,90,17,-107,82,58,-4,-63,-53,-112
